fusion,CCLE_Omics,Breast,sources,source_count
ATXN7L1--NAMPT,1,0,CCLE_Omics,1
AURKAIP1--MT-RNR2,1,0,CCLE_Omics,1
AVL9--BBS9,1,0,CCLE_Omics,1
B2M--EEF1A1,1,0,CCLE_Omics,1
B2M--EEF1D,1,0,CCLE_Omics,1
B2M--GNAS,1,0,CCLE_Omics,1
B2M--HMGB1,1,0,CCLE_Omics,1
B2M--HSP90AA1,1,0,CCLE_Omics,1
B2M--MT-RNR2,1,0,CCLE_Omics,1
B2M--MT-TS1,1,0,CCLE_Omics,1
B2M--NPM1,1,0,CCLE_Omics,1
B2M--OAZ1,1,0,CCLE_Omics,1
B2M--PABPC1,1,0,CCLE_Omics,1
B2M--RPS25,1,0,CCLE_Omics,1
B2M--RPS6,1,0,CCLE_Omics,1
B2M--TUBA1B,1,0,CCLE_Omics,1
BABAM2--FOSL2,1,0,CCLE_Omics,1
BACH1--MAP3K7CL,1,0,CCLE_Omics,1
BAG1--NFX1,1,0,CCLE_Omics,1
BAG6--LMAN2,1,0,CCLE_Omics,1
BAG6--SLC44A4,1,0,CCLE_Omics,1
BAIAP2--SLC38A10,1,0,CCLE_Omics,1
BAZ1A--SNX6,1,0,CCLE_Omics,1
BAZ2A--HMGN2,1,0,CCLE_Omics,1
BAZ2A--SUB1,1,0,CCLE_Omics,1
BBOX1-AS1--SLC5A12,1,0,CCLE_Omics,1
BBS12--FGF2,1,0,CCLE_Omics,1
BCAS3--MED13,1,0,CCLE_Omics,1
BCAS3--PARD6B,1,0,CCLE_Omics,1
BCAT1--SOX5,1,0,CCLE_Omics,1
BCCIP--MT-RNR2,1,0,CCLE_Omics,1
BCCIP--RACK1,1,0,CCLE_Omics,1
BCCIP--RPS3A,1,0,CCLE_Omics,1
BCL2L1--HM13,1,0,CCLE_Omics,1
BCL2L12--PRMT1,1,0,CCLE_Omics,1
BCL2L13--CECR2,1,0,CCLE_Omics,1
BCL9L--MT-ND2,1,0,CCLE_Omics,1
BDH1--DLG1,1,0,CCLE_Omics,1
BEST1--COPS6,1,0,CCLE_Omics,1
BEST1--HNRNPAB,1,0,CCLE_Omics,1
BEST1--MT-CO2,1,0,CCLE_Omics,1
